Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Latin America & Caribbean,LCN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,54.6,33.1,20.5,19.8,19.2,18.6,18.1,18.1,17.3,16.7,16.3,..
Latin America & Caribbean,LCN,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,7.5,5.3,3.6,3.4,3.3,3.2,3.1,3,2.9,2.8,2.7,..
Latin America & Caribbean,LCN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,75.9531630155167,93.54163932749,94.5068543169036,95.2102545400349,91.6322654174038,92.7391719115604,92.9836834256055,92.3588308112179,86.6935783758754,91.2212526160778,86.47422839986,..
Latin America & Caribbean,LCN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,91.99378,97.70394,99.95938,100.6185,100.2984,100.6464,99.33219,99.09733,98.69285,98.59721,..,..
Latin America & Caribbean,LCN,"School enrollment, primary (% gross)",SE.PRM.ENRR,115.6447,118.6874,115.7271,115.3976,110.7521,109.9361,108.9889,108.8391,108.9367,109.2604,..,..
Latin America & Caribbean,LCN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,76.85964,85.28891,89.36423,89.15551,93.96249,94.04588,94.48957,95.45097,95.78205,95.94882,..,..
Latin America & Caribbean,LCN,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.01676,1.01084,1.02043,1.02063,1.01889,1.02033,1.01639,1.01665,1.01209,1.01012,..,..
Latin America & Caribbean,LCN,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.239331516988867,0.459839519670235,0.507326978448153,0.514406733652506,0.512318911467665,0.519146190939352,0.515859174934992,0.516226189182024,0.515297991305536,0.506700797678386,0.504068887860241,..
Latin America & Caribbean,LCN,Forest area (sq. km),AG.LND.FRST.K2,10242341.7963019,9797204.3132773,9359417.20357567,9337652.84303576,9315888.6785689,9294124.32805926,9272360.08235842,9250585.88407427,..,..,..,..
Latin America & Caribbean,LCN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,16.3108065885503,21.7430866982019,21.7433893441639,..,..
Latin America & Caribbean,LCN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Latin America & Caribbean,LCN,Urban population growth (annual %),SP.URB.GROW,2.68883136223212,2.07435264153541,1.47974228059984,1.45147177629798,1.42077378963587,1.38476832499308,1.34836431256689,1.31035868552061,1.27340351497847,1.23516770453622,1.24070325060394,..
Latin America & Caribbean,LCN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1053.75029505478,1155.09245581249,1346.42255363963,1387.12456768343,1397.01671124005,1359.61304794341,..,..,..,..,..,..
Latin America & Caribbean,LCN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.28807275003815,2.60599840613767,2.94139645769819,3.03221581120441,3.06062488384005,3.06978814100696,3.00933105309963,2.92262908151866,..,..,..,..
Latin America & Caribbean,LCN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1176.55315222231,1599.86262763492,2078.51506204219,2130.83027794063,2152.54204035254,2157.88402154826,..,..,..,..,..,..
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,1179437621738.85,2289336070722.22,6081032499511.41,6143728571910.91,6294812403097.39,6417117884851.69,5520203132554.66,5390740209889.85,5985647360814.57,5816094715343.34,5719252824663.02,..
Latin America & Caribbean,LCN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.347318567832502,3.79188249580136,4.36583870217022,2.78415696409479,2.78487363645772,0.990677866765793,0.0900868525794039,-0.336701963678749,1.77235885123662,1.57103861314181,0.831692570483426,..
Latin America & Caribbean,LCN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,16.267939907543,3.53930849728748,5.79618847204975,3.59822124441102,2.39781509781859,2.62730714995604,2.47188597709767,2.30721759421941,2.63184831864771,2.46415572670481,2.50789657739299,..
Latin America & Caribbean,LCN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,8.1565568682093,5.16181604242751,4.75477772899274,4.4937951159983,4.62649735505435,4.63256000496984,4.48754461744626,4.92731412742947,4.70554080449012,4.65346829850134,4.85436131481066,..
Latin America & Caribbean,LCN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,33.1731334680913,28.7203979144737,29.4972905436828,28.7341921567236,27.7130697136623,26.6856973225916,24.625607755309,23.8914180077378,24.1491103814105,24.3151355416931,23.2797704218598,..
